Advertised globals:
[1] wl_seat (v9)
[2] wl_data_device_manager (v3)
[3] wl_compositor (v6)
[4] wl_subcompositor (v1)
[5] wl_shm (v1)
[6] wp_viewporter (v1)
[7] wp_tearing_control_manager_v1 (v1)
[8] wp_fractional_scale_manager_v1 (v1)
[9] zxdg_output_manager_v1 (v3)
[10] wp_cursor_shape_manager_v1 (v1)
[11] zwp_idle_inhibit_manager_v1 (v1)
[12] zwp_relative_pointer_manager_v1 (v1)
[13] zxdg_decoration_manager_v1 (v1)
[14] wp_alpha_modifier_v1 (v1)
[15] zwlr_gamma_control_manager_v1 (v1)
[16] ext_foreign_toplevel_list_v1 (v1)
[17] zwp_pointer_gestures_v1 (v3)
[18] zwlr_foreign_toplevel_manager_v1 (v3)
[19] zwp_keyboard_shortcuts_inhibit_manager_v1 (v1)
[20] zwp_text_input_manager_v1 (v1)
[21] zwp_text_input_manager_v3 (v1)
[22] zwp_pointer_constraints_v1 (v1)
[23] zwlr_output_power_manager_v1 (v1)
[24] xdg_activation_v1 (v1)
[25] ext_idle_notifier_v1 (v2)
[26] hyprland_lock_notifier_v1 (v1)
[27] ext_session_lock_manager_v1 (v1)
[28] zwp_input_method_manager_v2 (v1)
[29] zwp_virtual_keyboard_manager_v1 (v1)
[30] zwlr_virtual_pointer_manager_v1 (v2)
[31] zwlr_output_manager_v1 (v4)
[32] org_kde_kwin_server_decoration_manager (v1)
[33] hyprland_focus_grab_manager_v1 (v1)
[34] zwp_tablet_manager_v2 (v1)
[35] zwlr_layer_shell_v1 (v5)
[36] wp_presentation (v1)
[37] xdg_wm_base (v6)
[38] zwlr_data_control_manager_v1 (v2)
[39] zwp_primary_selection_device_manager_v1 (v1)
[40] xwayland_shell_v1 (v1)
[41] zwlr_screencopy_manager_v1 (v3)
[42] hyprland_toplevel_export_manager_v1 (v2)
[43] hyprland_toplevel_mapping_manager_v1 (v1)
[44] hyprland_global_shortcuts_manager_v1 (v1)
[45] xdg_wm_dialog_v1 (v1)
[46] wp_single_pixel_buffer_manager_v1 (v1)
[47] wp_security_context_manager_v1 (v1)
[48] hyprland_ctm_control_manager_v1 (v2)
[49] hyprland_surface_manager_v1 (v2)
[50] wp_content_type_manager_v1 (v1)
[51] xdg_toplevel_tag_manager_v1 (v1)
[52] xdg_system_bell_v1 (v1)
[53] wp_color_manager_v1 (v1)
[54] wp_drm_lease_device_v1 (v1)
[55] wp_linux_drm_syncobj_manager_v1 (v1)
[56] wl_drm (v2)
[57] zwp_linux_dmabuf_v1 (v5)
[58] wl_output (v4)
[59] wl_output (v4)
